"","측정소명","평균","id"
"1","중구",0.00340168539325843,11140
"2","종로구",0.00323033707865169,11110
"3","용산구",0.0037247191011236,11170
"4","은평구",0.00437640449438202,11380
"5","서대문구",0.00399157303370787,11410
"6","마포구",0.00337921348314607,11440
"7","광진구",0.00381179775280899,11215
"8","성동구",0.00357303370786517,11200
"9","중랑구",0.0049406779661017,11260
"10","동대문구",0.00429943502824859,11230
"11","성북구",0.00331741573033708,11290
"12","도봉구",0.00381179775280899,11320
"13","강북구",0.00275842696629213,11305
"14","노원구",0.00448876404494382,11350
"15","강서구",0.00471910112359551,11500
"16","구로구",0.00458988764044944,11530
"17","영등포구",0.00335393258426966,11560
"18","동작구",0.00331179775280899,11590
"19","관악구",0.00390168539325843,11620
"20","금천구",0.00373314606741573,11545
"21","양천구",0.00448033707865169,11470
"22","강남구",0.00457584269662921,11680
"23","서초구",0.00376404494382022,11650
"24","송파구",0.00331179775280899,11710
"25","강동구",0.00367696629213483,11740
